"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ACTS","Actions Semiconductor Co., Ltd.","1.99","171140000","n/a","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","2.7","62312654.7","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","20.5","14657466626","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"BIRT","Actuate Corporation","4","184227280","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
"ACUR","Acura Pharmaceuticals, Inc.","1.22","59594538.04","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","27.64","2111120977.44","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","19.5","320248344","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","6.33","66275017.71","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADUS","Addus HomeCare Corporation","23.01","251983729.53","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.76","27595804.8","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","11.01","143709962.76","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","60.81","30266987509.11","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","21.97","1239485796.12","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADES","Advanced Emissions Solutions, Inc.","19.47","211532126.52","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","18.26","749190142.58","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"ADXS","Advaxis, Inc.","2.7","51339058.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","0.92","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"ADVS","Advent Software, Inc.","29.53","1519835215.94","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"YPRO","AdvisorShares YieldPro ETF","25.28","68256000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro",
"AEGR","Aegerion Pharmaceuticals, Inc.","33.36","983551245.36","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","24.63","935380431.03","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","2.26","24941346.44","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AEPI","AEP Industries Inc.","35.16","196978028.28","n/a","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AERI","Aerie Pharmaceuticals, Inc.","15.28","356460641.28","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","34.18","778802716.12","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","1.09","61600226.21","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"ATRM","Aetrium Incorporated","4.95","5341921.2","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"AFFX","Affymetrix, Inc.","7.94","577618246.6","n/a","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","2.67","166002708.33","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGYS","Agilysys, Inc.","13","292251037","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
